,author,title,description,url,urlToImage,publishedAt,content,source.name,category
0,Luz Pena,"San Francisco, San Mateo counties move to most restrictive purple tier amid coronavirus case surge - KGO-TV","A spike in COVID-19 cases pushed San Francisco and San Mateo counties into the state's purple tier on Saturday, joining most of the region and California in rolling back non-essential indoor activities like fitness, worship, movie theaters and museums.",https://abc7news.com/coronavirus-covid-19-san-francisco-mateo-county/8337937/,"https://cdn.abcotvs.com/dip/images/8346123_112820-kgo-san-mateo-outdoor-dining-img_Image_17-23-53,00.jpg?w=1600",2020-11-29T05:03:45Z,SAN FRANCISCO (KGO) -- After weeks of holding on by a thread San Francisco and San Mateo County is officially in the most restrictive purple tier. Mayor London Breed described the spike in COVID-19 c,KGO-TV,business
1,Elizabeth Elizalde,Man arrested for refusing to wear mask on Delta flight from Salt Lake City - New York Post ,"A man was arrested after refusing to wear a face mask on a Delta Air Lines flight that was heading from Salt Lake City to San Francisco, authorities said. Joshua Colby Council, 44, was rushing to b…",https://nypost.com/2020/11/28/man-arrested-for-refusing-to-wear-mask-on-delta-flight/,https://nypost.com/wp-content/uploads/sites/2/2020/11/delta-maskless-passenger.jpg?quality=90&strip=all&w=1024,2020-11-29T03:34:00Z,"A man was arrested after refusing to wear a face mask on a Delta Air Lines flight that was heading from Salt Lake City to San Francisco, authorities said.
Joshua Colby Council, 44, was rushing to bo",New York Post,business
2,Tanisha Pina,"Ugg Black Friday Sale: 36 Of The Best Ugg Deals For Women, Men And Kids - Forbes","From discounts on Ugg's site to major deals you can score at Zappos, Nordstrom and more, here are the 36 best Black Friday Ugg deals you can find right now.",https://www.forbes.com/sites/forbes-personal-shopper/2020/11/28/ugg-black-friday-sale-best-ugg-deals/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5fc31318cc35ebb282b7814f%2F0x0.jpg%3FcropX1%3D0%26cropX2%3D3455%26cropY1%3D0%26cropY2%3D2591,2020-11-29T03:07:00Z,"This story is part of the Forbes Shopping guide to Black Friday and Cyber Monday, where well be tracking the best deals all month long. Black Friday has come and gone, but the sales in the weekend be",Forbes,business
3,Tracy Connor,Utah's Desert Monolith Mysteriously Vanishes - The Daily Beast,It was only discovered a week ago!,https://www.thedailybeast.com/utahs-desert-monolith-mysteriously-vanishes,"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_338,w_600,x_0,y_187/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1606620054/128214292_3816313021734336_189319426184215764_n_phv3ed",2020-11-29T03:04:12Z,"Utahs mysterious metallic monolith, which made headlines after wildlife workers spotted it in the desert during a sheep-counting flyover, has vanished. The Salt Lake Tribune reports that the only thi",Daily Beast,business
4,Lindsey Ellefson,"Trump Calls Fox News ‘Unwatchable, Especially During Weekends’ Day Before His Fox News Interview - Yahoo Entertainment","Donald Trump was again in the mood to trash his once-beloved Fox News, Saturday calling it “unwatchable, especially during weekends”… just a day before his...",https://www.yahoo.com/entertainment/trump-calls-fox-news-unwatchable-025800064.html,https://s.yimg.com/uu/api/res/1.2/axqiPHfOYD7TxG.YfzNYdA--~B/aD00MDA7dz02MTg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en-US/thewrap.com/a7d56f5e9e7457ba81a71e30751038f9,2020-11-29T02:58:00Z,"Donald Trump was again in the mood to trash his once-beloved Fox News, Saturday calling it unwatchable, especially during weekends just a day before his scheduled interview on that very networks Sund",Yahoo Entertainment,business
5,John Domol,Tow truck driver helps rescue Wyoming crash victim - WOODTV.com,Thanksgiving had just wrapped up. And then his shift took a turn.,https://www.woodtv.com/news/kent-county/tow-truck-driver-helps-rescue-wyoming-crash-victim/,https://www.woodtv.com/wp-content/uploads/sites/51/2020/11/Brandon-Dexter-tow-truck-driver-11282020.jpg?w=1280,2020-11-29T02:48:00Z,"GRAND RAPIDS, Mich. (WOOD) Tow truck operator Brandon Dexter sprung to action and played a pivotal part in saving a life after a speeding vehicle crashed into a Wyoming home.
“Couple of drivers and ",WOODTV.com,business
6,NBC New York,New York's 29 Micro-Cluster Zones Bring Statewide Positivity Near 4% - NBC New York,New York’s statewide positivity rate for the coronavirus rose to a new high for the fall season aided by the increase in the state’s 29 different…,https://www.nbcnewyork.com/news/coronavirus/new-yorks-29-micro-cluster-zones-bring-statewide-positivity-near-4/2749894/,https://media.nbcnewyork.com/2020/11/106803058-1606490815416-gettyimages-1229764827-NEW_YORK_VIRUS.jpeg?resize=1200%2C675,2020-11-29T02:07:00Z,New York's statewide positivity rate for the coronavirus rose to a new high for the fall season aided by the increase in the state's 29 different micro-cluster zones -- the highest zone held a 7-day ,NBC New York,business
7,Clifford Colby,"If a stimulus package doesn't pass soon, here's what Biden could do - CNET","If there's no bill before President-elect Joe Biden takes office on Jan. 20, he has a few available moves.",https://www.cnet.com/personal-finance/if-a-stimulus-package-doesnt-pass-soon-heres-what-biden-could-do/,https://cnet3.cbsistatic.com/img/UAcVJdWMYRge7BIvJlEXSnfXe9w=/1200x630/2020/11/03/230c58bc-9a53-4283-b65e-a66b3bf54ba0/017-cash-stimulus-bill-help-americans-poverty-last-dollar-torn-apart-election.jpg,2020-11-29T02:00:04Z,"How much aid could President-elect Joe Biden provide through executive orders?
CNET Staff
When it comes to the highly contentious stimulus bill still under debate among the nation's top leaders, th",CNET,business
8,Kaelan Deese,Top consulting firm McKinsey suggested Purdue Pharma give pharmacies rebates for OxyContin overdoses | TheHill - The Hill,"One of the most prestigious consulting firms in the world, McK...",https://thehill.com/policy/healthcare/legal-challenges/527839-top-consulting-firm-mckinsey-suggested-purdue-pharma-give,https://thehill.com/sites/default/files/purduepharma_040219getty.jpg,2020-11-29T01:53:11Z,"One of the most prestigious consulting firms in the world, McKinsey &amp; Company, advised Purdue Pharma to give pharmacy companies rebates for OxyContin overdoses in 2017, according to records relea",The Hill,business
9,Hannah Freedman,Lululemon Cyber Monday 2020 deals: Over 50% off leggings & more - Business Insider - Business Insider,"Lululemon rarely has sales, but right now you can save up to almost 60% off cult-favorite styles like the Wunder Under leggings and the Align pant.",https://www.businessinsider.com/lululemon-cyber-monday-sale-2020-11,https://i.insider.com/5fbc12b132f2170011f70b73?width=1200&format=jpeg,2020-11-29T01:23:34Z,"When you buy through our links, we may earn money from our affiliate partners. Learn more.
Cyber Monday 2020 is here, and Lululemon is among the brands currently offering huge discounts. Lululemon h",Business Insider,business
10,New York Post,NYC bar in COVID-19 hotspot refuses to shut down after state yanks liquor license - Fox News,"A Staten Island pub located in a coronavirus hot spot is stealing a page from Seattle’s anarchist cookbook, declaring itself an “autonomous zone,” free from the public-safety restrictions its owners say they will refuse to abide by.",https://www.foxnews.com/us/nyc-bar-covid-19-hotspot-refuses-shut-down-liquor-license,https://static.foxnews.com/foxnews.com/content/uploads/2020/11/AP20330248517840.jpg,2020-11-29T01:22:05Z,"It’s an “open” rebellion.
A Staten Island pub located in a coronavirus hot spot is stealing a page from Seattle’s anarchist cookbook, declaring itself an “autonomous zone,” free from the public-safe",Fox News,business
11,,"Tony Hsieh, retired Zappos CEO, dies at 46 after house fire - New Haven Register","LAS VEGAS (AP) - Tony Hsieh, the retired CEO of Las Vegas-based online shoe retailer Zappos.com, who spent years working to transform the city's downtown area, has died. He was 46. 
 Hsieh was with family when he died Friday, according to DTP Companies, which…",https://www.nhregister.com/business/article/Tony-Hsieh-retired-Zappos-CEO-dies-at-46-15759435.php,https://s.hdnux.com/photos/01/15/40/60/20319245/15/rawImage.jpg,2020-11-29T00:59:00Z,"<ul><li>FILE - In this Sept. 30, 2013, file photo, Tony Hsieh speaks during a Grand Rapids Economic Club luncheon in Grand Rapids, Mich. Hsieh, retired CEO of Las Vegas-based online shoe retailer Zap",New Haven Register,business
12,Alexandra Del Rosario,"L.A. County Coronavirus Update: Public Health Director Confirms 3,143 New Cases; Explains Dangers Of Holiday Season: “Dead People Don’t Get A Second Chance” - Deadline","Los Angeles residents may have trudged through the Thanksgiving holiday during the Covid-19 pandemic, but Los Angeles Public Health director Dr. Barbara Ferrer said Saturday that the county’s far from in the clear. During a press briefing, Ferrer confirmed a …",https://deadline.com/2020/11/l-a-county-coronavirus-update-public-health-confirms-3143-new-cases-dangers-of-holiday-season-1234622760/,https://deadline.com/wp-content/uploads/2020/11/Covid-Testing-Los-Angeles-County.jpg?w=1024,2020-11-28T23:40:00Z,"Los Angeles residents may have trudged through the Thanksgiving holiday during the Covid-19 pandemic, but Los Angeles Public Health director Dr. Barbara Ferrer said Saturday that the county’s far fro",Deadline,business
13,Chelsea Moreno,$50K reward offered for information leading to arrest of suspects accused of robbing USPS worker in Cedar Park - KXAN.com,The Cedar Park Police Department is investigating a robbery of a United States Postal Service worker on Saturday.,https://www.kxan.com/news/local/williamson-county/50k-reward-offered-for-information-leading-to-arrest-of-suspects-accused-of-robbing-usps-worker-in-cedar-park/,https://www.kxan.com/wp-content/uploads/sites/40/2020/04/uspsshipping_37361923_ver1.0.jpg?w=1280,2020-11-28T23:17:00Z,"CEDAR PARK, Texas (KXAN) The Cedar Park Police Department is investigating a robbery of a United States Postal Service worker on Saturday. 
It happened around 9:45 a.m. at the mailbox collection are",KXAN.com,business
14,Emily Davies,Small Business Saturday spotlights pandemic-inspired entrepreneurship - The Washington Post,Local businesses get creative as coronavirus closures continue to hit small merchants hard.,https://www.washingtonpost.com/local/small-business-saturday-dc/2020/11/28/f50f3a56-31b5-11eb-860d-f7999599cbc2_story.html,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/Z2PI63BRWQI6XHOWFUAXTGAXDE.jpg&w=1440,2020-11-28T22:23:00Z,"This years Small Business Saturday, an annual shopping holiday meant to support independent and local businesses, comes at a critical time for merchants across the nation. They are nine months into t",The Washington Post,business
15,Ben Unglesbee,Winners and losers of Black Friday 2020 - Retail Dive,"Online sales, curbside and store pickup have all surged as a sales event defined by the pandemic took shape.",https://www.retaildive.com/news/winners-and-losers-of-black-friday-2020/589634/,https://www.retaildive.com/user_media/cache/04/d3/04d332fe14711d473ad80802fa3ffb5b.jpg,2020-11-28T21:30:29Z,"Black Friday 2020 was always going to be different. 
Masks, socially distanced lines, limited t traffic in stores Black Friday this year was different both structurally and visually.
This year, ",Retail Dive,business
16,"Staff, Marilyn Parker","More than 6,000 new COVID-19 cases reported as Florida closes in on 1 million total - WJXT News4JAX ","With an increase of more than 6,000 new COVID-19 cases reported on Saturday, Florida is on track to surpass 1 million cases of the virus by early next week -- the third state in the nation to reach that dubious milestone.",https://www.news4jax.com/news/florida/2020/11/28/more-than-6000-new-covid-19-cases-reported-as-florida-closes-in-on-1-million-total/,https://www.news4jax.com/resizer/0dfMHRCSNyvswZHg0PgMJBlcDds=/1600x900/smart/filters:format(jpeg):strip_exif(true):strip_icc(true):no_upscale(true):quality(65)/d1vhqlrjc8h82r.cloudfront.net/11-29-2020/t_32903c465f1f4cf589e47b588e48ba80_name_image.jpg,2020-11-28T21:28:00Z,"JACKSONVILLE, Fla. With an increase of more than 6,000 new COVID-19 cases reported on Saturday, Florida is on track to surpass 1 million cases of the virus by early next week -- the third state in th",WJXT News4JAX,business
17,Rose Maura Lorre,"Best Black Friday and Cyber Monday Vacuum Deals from Dyson, Roomba, and Shark - The New York Times","The best Black Friday vacuum sales from Amazon, Walmart and Target, including Cyber Monday Dyson stick vacuum deals and Roomba robot vacuum deals.",https://www.nytimes.com/wirecutter/money/black-friday-cyber-monday-vacuum-deals-2020/,https://cdn.thewirecutter.com/wp-content/media/2020/10/cordlessstickvacs-2048px-00845.jpg?auto=webp&quality=60&crop=1.91:1&width=1200,2020-11-28T21:22:46Z,"Weve tested dozens of robot vacuums over almost a decade, and yes, they actually work. Our favorite robot vacuums are made by Roomba, Eufy, and Roborock. In a nutshell: Roombas are dependable and gre",New York Times,business
